catalog_id,source_record_ids,integration_routes,integration_status,action_or_policy,legal_question_or_outcome,litigation_posture,source_family,source_entry_url,representative_case_url,official_action_url,preliminary_disposition,review_note,last_reviewed
TAC-HRT1-066,SRC-0770; SRC-0833,FACT-001,awaiting-primary-verification-and-reader-placement,USDA removes animal welfare reports from own website,"The US Department of Agriculture has removed a series of reports from its website regarding animal welfare inspections and enforcement that were previously used by journalists and advocacy groups to monitor the treatment of animals at commercial dog and horse breeding facilities and animal testing labs, including some with a history of abuse. The decrease in transparency will substantially inhibit the efforts of animal welfare organizations to monitor and promote compliance with the Animal Welfare Act, and to participate in regulatory policy-making and reform.",not necessarily litigated; legal-threshold verification required,Columbia Trump Administration Human Rights Tracker,https://trumphumanrightstracker.law.columbia.edu/,http://blog.humanesociety.org/wp-content/uploads/2017/02/2017-02-06-Notice-of-Violation_HSUS-v-USDA-No.-15-0197.pdf,,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-HRT1-070,SRC-0770; SRC-0834,RIGHTS-001,awaiting-primary-verification-and-reader-placement,Trump limits privacy rights of non U.S. citizens,Signed an Executive Order that forces agencies to exclude from their privacy policies anyone who is not a US citizen or US permanent resident. Contradicts and may damage the Privacy Shield agreement between the US and the EU; may therefore limit the ability of US companies to serve customers from the EU.,not necessarily litigated; legal-threshold verification required,Columbia Trump Administration Human Rights Tracker,https://trumphumanrightstracker.law.columbia.edu/,https://www.brookings.edu/blog/techtank/2017/01/25/why-president-trump-should-keep-obamas-digital-privacy-protections/,,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-IPI1-019,SRC-0768; SRC-0835,HOR-035,awaiting-primary-verification-and-reader-placement,"Ctr. for Biological Diversity v. Bureau of Land Management , No. 20-02132 (D.D.C.)","November 30, 2020: The Bureau of Land Management withdrew several mineral prospecting permits in order to conduct further environmental analyses after being sued for violating the National Environmental Policy Act and Endangered Species Act.",adjudicated-action-blocked-or-withdrawn,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.eenews.net/assets/2020/12/01/document_gw_04.pdf,,representative-source-development,Formal Horizon source-development lead retained for the admitted intake record. Pending-source adjudication confirmed this record's accountable route.,2026-07-18
TAC-IPI1-023,SRC-0768; SRC-0836; SRC-0837,RIGHTS-002,awaiting-primary-verification-and-reader-placement,"P.J.E.S. v. Wolf , No. No. 20-2245, 2020 WL 6770508 (D.D.C. Nov. 18, 2020), stayed (D.C Cir. Jan. 29, 2021)","November 18, 2020: A federal district court enjoined a Center for Disease Control and Prevention rule —which restricted immigration due to the COVID-19 pandemic (by for example, requiring unaccompanied minor noncitizens to be detained in facilities pending their expulsion), finding that, the plaintiff was likely to prevail on the argument that, under the applicable federal statute, the authority to prohibit the “introduction” of persons did not grant the agency authority to eject or evict persons subsequent to their entry. A federal appeals court subsequently stayed the injunction pending appeal. P.J.E.S. v. Pekoske , No. 20-02245 (D.C Cir. Jan. 29, 2021).",adjudicated-action-blocked-or-withdrawn,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,http://cdn.cnn.com/cnn/2020/images/11/18/pjes_v_wolf_et_al__dcdce.pdf,https://www.govinfo.gov/content/pkg/FR-2020-09-11/pdf/2020-20036.pdf,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-IPI1-045,SRC-0768; SRC-0839; SRC-0840,REG-006,awaiting-primary-verification-and-reader-placement,"New York v. Scalia , No. 20-01689, 2020 U.S. Dist. LEXIS 163498 (S.D.N.Y. Sept. 8, 2020), appeal dismissed as moot (2d Cir. No. 20-3815)","September 8, 2020: A federal district court held that the Department of Labor rule revising and narrowing the Department’s interpretation of the term “joint employer” under the Fair Labor Standards Act, was inconsistent with the Act and that the agency had failed to provide a reasoned explanation.",adjudicated-action-blocked-or-withdrawn,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://ag.ny.gov/sites/default/files/doc_135_opinion.pdf,https://www.govinfo.gov/content/pkg/FR-2020-01-16/pdf/2019-28343.pdf,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-IPI1-063,SRC-0768; SRC-0841,HOR-035,awaiting-primary-verification-and-reader-placement,"New York v. Wolf , No. 20-1127 (S.D.N.Y. 2020)","July 23, 2020: The Department of Homeland Security withdrew a prohibition on New York State residents’ access to Trusted Traveler programs, after being sued for violating the Fifth Amendment, Tenth Amendment, and Administrative Procedure Act. In October 2020, the court held that the policy was not moot because of ""lingering operational effects"" and found that the policy was arbitrary and capricious for failure to provide a reasoned explanation.",adjudicated-action-blocked-or-withdrawn,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.dhs.gov/news/2020/07/23/new-york-amends-dangerous-green-light-law-cooperate-federal-law-enforcement-dmv,,representative-source-development,Formal Horizon source-development lead retained for the admitted intake record. Pending-source adjudication confirmed this record's accountable route.,2026-07-18
TAC-IPI1-142,SRC-0768; SRC-0845; SRC-0846,RIGHTS-002,awaiting-primary-verification-and-reader-placement,"East Bay Sanctuary Covenant v. Barr, 385 F. Supp. 3d 922 (N.D. Cal. 2019) , stayed Barr v. East Bay Sanctuary Covenant, 140 S. Ct. 3 (2019), affirmed East Bay Sanctuary Covenant v. Trump, 950 F.3d 1242 (9th Cir. 2020), 2020 WL 3637585 (9th Cir. July 6, 2020)","September 9, 2019: A federal district court in California enjoined a rule that categorically denied asylum to those entering the United States at the southern border who did not first apply for asylum in another country. The court found that the Department of Justice violated the Administrative Procedure Act’s notice-and-comment requirement, failed to provide a reasoned explanation for the rule, and violated Congress’ underlying statutory regime. A separate federal district court in D.C. later vacated the rule for failure to comply with notice-and-comment requirements.",adjudicated-action-blocked-or-withdrawn,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.aclu.org/legal-document/east-bay-v-barr-order-granting-motion-restore-nationwide-scope-injunction,https://www.federalregister.gov/documents/2019/07/16/2019-15246/asylum-eligibility-and-procedural-modifications,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-IPI1-159,SRC-0768; SRC-0847; SRC-0848,REG-006,awaiting-primary-verification-and-reader-placement,"United Steel v. Mine Safety & Health Administration, 925 F.3d 1279 (D.C. Cir. 2019)","June 11, 2019: A federal appeals court in D.C. vacated the Mine Safety and Health Administration’s amended rule on safety inspections, and reinstated the prior stricter safety standard . The court found that the amended rule violated the Federal Mine Safety and Health Act by illegally reducing mine safety, and held that the agency had failed to provide a reasoned explanation for the amended rule.",adjudicated-action-blocked-or-withdrawn,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.eenews.net/assets/2019/06/11/document_pm_01.pdf,https://www.govinfo.gov/content/pkg/FR-2017-01-23/pdf/2017-00832.pdf,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-IPI1-190,SRC-0768; SRC-0849; SRC-0850,RIGHTS-002,awaiting-primary-verification-and-reader-placement,"East Bay Sanctuary Covenant v. Trump , 349 F. Supp. 3d 838 (N.D. Cal. November 19, 2018), affirmed East Bay Sanctuary Covenant v. Trump , 932 F.3d 742 (9th Cir. 2018)","November 19, 2018: A federal district court enjoined an Interim Final Rule which barred asylum for immigrants who entered the country outside of a designated port of entry, finding that the rule violated the controlling statute.",adjudicated-action-blocked-or-withdrawn,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,http://apps.washingtonpost.com/g/documents/national/order-granting-temporary-restraining-order-against-trump-administration-asylum-policy/3318/,https://www.federalregister.gov/documents/2018/11/09/2018-24594/aliens-subject-to-a-bar-on-entry-under-certain-presidential-proclamations-procedures-for-protection,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-IPI1-216,SRC-0768; SRC-0851; SRC-0852,HOR-035,awaiting-primary-verification-and-reader-placement,"Environmental Defense Fund v. Environmental Protection Agency , No. 18-1190 (D.C. Cir.); California v. Environmental Protection Agency , No. 18-1192 (D.C. Cir.)","July 27, 2018: The Environmental Protection Agency withdrew a memorandum promising that the agency would not enforce a 2016 rule limiting glider truck emissions after the agency was sued for failing to comply with the Administrative Procedure Act’s notice-and-comment requirements and for lack of statutory authority to put off the 2016 rule.",adjudicated-action-blocked-or-withdrawn,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.epa.gov/enforcement/conditional-no-action-assurance-regarding-small-manufacturers-glider-vehicles-withdrawn,https://www.gpo.gov/fdsys/pkg/FR-2016-10-25/pdf/2016-21203.pdf,representative-source-development,Formal Horizon source-development lead retained for the admitted intake record. Pending-source adjudication confirmed this record's accountable route.,2026-07-18
TAC-IPI1-221,SRC-0768; SRC-0853; SRC-0854,FACT-001,awaiting-primary-verification-and-reader-placement,"New York v. Pruitt , No. 18-04739 (S.D.N.Y.)","June 22, 2018: The Environmental Protection Agency published training materials for farmers exposed to poisonous pesticides after being sued for delaying the release of those materials in violation of the agency’s own regulations.",adjudicated-action-blocked-or-withdrawn,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.regulations.gov/document?D=EPA-HQ-OPP-2011-0184-2525,https://www.gpo.gov/fdsys/pkg/FR-2017-12-21/pdf/2017-27303.pdf,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-IPI1-229,SRC-0768; SRC-0857,HOR-035,awaiting-primary-verification-and-reader-placement,"Natural Resources Defense Council v. Zinke , Docket No. 17-02504 (D.D.C.)","March 1, 2018: After being sued for violating the Administrative Procedure Act and the Endangered Species Act when reversing course on two previous findings that had blocked the imports of elephants and lions from Zambia and Zimbabwe, the Department of Interior and Fish and Wildlife Service withdrew the new policy. The agency subsequently announced that it would apply that policy in individual adjudications. (See the entry dated June 16, 2020.)",adjudicated-action-blocked-or-withdrawn,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.nrdc.org/media/2017/171120,https://www.govinfo.gov/content/pkg/FR-2017-11-17/pdf/2017-24974.pdf,representative-source-development,Formal Horizon source-development lead retained for the admitted intake record. Pending-source adjudication confirmed this record's accountable route.,2026-07-18
TAC-IPI1-239,SRC-0768; SRC-0859; SRC-0860,HOR-035,awaiting-primary-verification-and-reader-placement,"Clean Water Action v. Pruitt , No. 17-0817 (D.D.C.)","September 18, 2017: After being sued, EPA withdrew the indefinite delay of a rule restricting toxic-metal wastewater discharges from power plants, and replaced it with a new delay. Later, a federal district court in D.C. denied summary judgment against the Environmental Protection Agency ( EPA ), finding that the challenge to the delay was moot because it had been withdrawn. 315 F. Supp. 3d 72 (D.D.C. 2018), appeal docketed (D.C. Cir. No. 18-5149).",adjudicated-action-blocked-or-withdrawn,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.govinfo.gov/content/pkg/FR-2017-04-25/pdf/2017-07811.pdf,https://www.govinfo.gov/content/pkg/FR-2017-09-18/html/2017-19821.htm,representative-source-development,Formal Horizon source-development lead retained for the admitted intake record. Pending-source adjudication confirmed this record's accountable route.,2026-07-18
TAC-IPT-006,SRC-0867,HOR-037,awaiting-primary-verification-and-reader-placement,Government delays bond hearings for asylum seekers,Tracker marks this policy action as subject to litigation; case and final-posture normalization remains pending.,litigation identified; current or final posture not yet normalized,Immigration Policy Tracking Project,https://immpolicytracking.org/policies/government-delays-bond-hearings-for-asylum-seekers/,,,representative-source-development,Formal Horizon source-development lead retained for the admitted intake record. Pending-source adjudication confirmed this record's accountable route.,2026-07-18
TAC-IPT-043,SRC-0868,HOR-037,awaiting-primary-verification-and-reader-placement,ICE seeks to destroy records relating to immigrant abuse in detention centers,Tracker marks this policy action as subject to litigation; case and final-posture normalization remains pending.,litigation identified; current or final posture not yet normalized,Immigration Policy Tracking Project,https://immpolicytracking.org/policies/ice-seeks-to-destroy-records-relating-to-immigrant-abuse-in-detention-centers/,,,representative-source-development,Formal Horizon source-development lead retained for the admitted intake record. Pending-source adjudication confirmed this record's accountable route.,2026-07-18
TAC-IPT-127,SRC-0872,HOR-037,awaiting-primary-verification-and-reader-placement,Trump administration seeks repatriation of unaccompanied Central American children without TVPRA protections,Tracker marks this policy action as subject to litigation; case and final-posture normalization remains pending.,litigation identified; current or final posture not yet normalized,Immigration Policy Tracking Project,https://immpolicytracking.org/policies/reported-trump-administration-adopts-pilot-plan-to-deport-guatemalan-children-back-to-home-country/,,,representative-source-development,Formal Horizon source-development lead retained for the admitted intake record. Pending-source adjudication confirmed this record's accountable route.,2026-07-18
TAC-IPT-135,SRC-0873,EMERG-003,awaiting-primary-verification-and-reader-placement,"EO 14193: ""Imposing Duties To Address the Flow of Illicit Drugs Across Our Northern Border""",Tracker marks this policy action as subject to litigation; case and final-posture normalization remains pending.,litigation identified; current or final posture not yet normalized,Immigration Policy Tracking Project,https://immpolicytracking.org/policies/potus-issues-eo-on-northern-border-and-imposes-tariffs-on-canada/,,,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-IPT-138,SRC-0874,HOR-034,awaiting-primary-verification-and-reader-placement,"Reported: Social Security Administration shares 98,000 addresses with DHS",Tracker marks this policy action as subject to litigation; case and final-posture normalization remains pending.,litigation identified; current or final posture not yet normalized,Immigration Policy Tracking Project,https://immpolicytracking.org/policies/reported-social-security-administration-shares-immigrants-addresses-with-dhs/,,,representative-source-development,Formal Horizon source-development lead retained for the admitted intake record. Pending-source adjudication confirmed this record's accountable route.,2026-07-18
TAC-IPT-142,SRC-0875,CIV-001,awaiting-primary-verification-and-reader-placement,Reported: DHS fires nearly 50 USCIS employees,Tracker marks this policy action as subject to litigation; case and final-posture normalization remains pending.,litigation identified; current or final posture not yet normalized,Immigration Policy Tracking Project,https://immpolicytracking.org/policies/reported-dhs-fires-nearly-50-uscis-employees/,,,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-IPT-143,SRC-0876,HOR-034,awaiting-primary-verification-and-reader-placement,Reported: ICE issues subpoenas to Colorado state agencies seeking personal information for enforcement,Tracker marks this policy action as subject to litigation; case and final-posture normalization remains pending.,litigation identified; current or final posture not yet normalized,Immigration Policy Tracking Project,https://immpolicytracking.org/policies/colorado-state-employees-sue-gov-polis-to-challenge-order-to-comply-with-ice-subpoena/,,,representative-source-development,Formal Horizon source-development lead retained for the admitted intake record. Pending-source adjudication confirmed this record's accountable route.,2026-07-18
TAC-IPT-155,SRC-0879,FED-003,awaiting-primary-verification-and-reader-placement,"DOJ ""Sanctuary Jurisdiction Directives"" § I aims to tie DOJ funding for state and local jurisdictions to immigration-enforcement compliance",Tracker marks this policy action as subject to litigation; case and final-posture normalization remains pending.,litigation identified; current or final posture not yet normalized,Immigration Policy Tracking Project,https://immpolicytracking.org/policies/doj-sanctuary-jurisdictions-directives-memo-part-i-ends-funding-for-state-and-local-jurisdictions-noncompliant-with-8-usc-1373a/,,,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-IPT-158,SRC-0881,REG-003,awaiting-primary-verification-and-reader-placement,President Trump fires Special Counsel and MSPB board members with jurisdiction over IJ-firing appeals,Tracker marks this policy action as subject to litigation; case and final-posture normalization remains pending.,litigation identified; current or final posture not yet normalized,Immigration Policy Tracking Project,https://immpolicytracking.org/policies/president-trump-fires-mspb-board-members/,,,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-IPT-193,SRC-0884,FED-003,awaiting-primary-verification-and-reader-placement,Department of Transportation issues order requiring states and localities to cooperate with federal immigration enforcement for funding,Tracker marks this policy action as subject to litigation; case and final-posture normalization remains pending.,litigation identified; current or final posture not yet normalized,Immigration Policy Tracking Project,https://immpolicytracking.org/policies/department-of-transportation-issued-order-requiring-local-government-cooperation-with-federal-immigration-enforcement-in-order-to-receive-funding/,,,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-IPT-208,SRC-0886,DOM-009,awaiting-primary-verification-and-reader-placement,Centers for Medicare and Medicaid Services provide DHS with personal information of Medicaid enrollees,Tracker marks this policy action as subject to litigation; case and final-posture normalization remains pending.,litigation identified; current or final posture not yet normalized,Immigration Policy Tracking Project,https://immpolicytracking.org/policies/centers-for-medicare-and-medicaid-services-transfers-dhs-personal-information-of-medicaid-enrollees/,,,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-IPT-212,SRC-0888,ELEC-004,awaiting-primary-verification-and-reader-placement,"DOJ sues Orange County, CA registrar over refusal to provide voting records",Tracker marks this policy action as subject to litigation; case and final-posture normalization remains pending.,litigation identified; current or final posture not yet normalized,Immigration Policy Tracking Project,https://immpolicytracking.org/policies/doj-sues-orange-county-registrar-over-voting-records/,,,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-IPT-235,SRC-0895,CIV-001,awaiting-primary-verification-and-reader-placement,"EO 14251: ""Exclusions from Federal Labor-Management Relations Programs""",Tracker marks this policy action as subject to litigation; case and final-posture normalization remains pending.,litigation identified; current or final posture not yet normalized,Immigration Policy Tracking Project,https://immpolicytracking.org/policies/eo-exclusions-from-federal-labor-management-relations-programs/,,,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-IPT-239,SRC-0898,FED-004,awaiting-primary-verification-and-reader-placement,"DOJ sues Illinois over ""Right to Privacy in the Workplace Act"" amendments",Tracker marks this policy action as subject to litigation; case and final-posture normalization remains pending.,litigation identified; current or final posture not yet normalized,Immigration Policy Tracking Project,https://immpolicytracking.org/policies/doj-files-suit-against-illinois-over-workplace-privacy-law/,,,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-IPT-243,SRC-0899,HOR-037,awaiting-primary-verification-and-reader-placement,ICE arrests and detains noncitizens attending immigration-court hearings,Tracker marks this policy action as subject to litigation; case and final-posture normalization remains pending.,litigation identified; current or final posture not yet normalized,Immigration Policy Tracking Project,https://immpolicytracking.org/policies/ice-arrests-and-detains-noncitizens-attending-immigration-court-hearings/,,,representative-source-development,Formal Horizon source-development lead retained for the admitted intake record. Pending-source adjudication confirmed this record's accountable route.,2026-07-18
TAC-IPT-246,SRC-0900,REG-003,awaiting-primary-verification-and-reader-placement,"Acting Regional Deputy Chief IJ issues, and EOIR subsequently withdraws, guidance to IJs regarding DHS motions to dismiss/terminate",Tracker marks this policy action as subject to litigation; case and final-posture normalization remains pending.,litigation identified; current or final posture not yet normalized,Immigration Policy Tracking Project,https://immpolicytracking.org/policies/eoir-acting-deputy-director-withdraws-a-may-30-2025-email/,,,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
TAC-IPT-255,SRC-0906,DOM-009,awaiting-primary-verification-and-reader-placement,Reported: Trump administration develops and deploys extensive surveillance program targeting noncitizens,Tracker marks this policy action as subject to litigation; case and final-posture normalization remains pending.,litigation identified; current or final posture not yet normalized,Immigration Policy Tracking Project,https://immpolicytracking.org/policies/unions-challenge-alleged-government-surveillance-program-targeting-noncitizens/,,,representative-source-development,"Selected as a representative, route-specific source-development episode; primary verification and reader-facing placement remain required. Pending-source adjudication confirmed this record's accountable route.",2026-07-18
