administration,case_caption,date_initiated,policy_area,specific_policy,litigation_target,result_type,injunction_issued,general_success,case_stage,dispute_category,eo_related_first_pass,citation_or_docket,opinion_links_or_titles,status_summary,coding_note
Barack Obama (First Term),Texas v. EPA,2010-12-30,Environment,SIP Call,U.S. Environmental Protection Agency,state_loss,,"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,726 F.3d 180,"links: https://attorneysgeneral.org/wp-content/uploads/2019/03/2010.12.30-Texas-v.-EPA-Petition-for-Review.pdf; https://scholar.google.com/scholar_case?case=13950613554712833197&amp;q=10-1425&amp;hl=en&amp;as_sdt=6,50","The D.C. Circuit held for the EPA, dismissing the states' petitions.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),New York v. Nuclear Regulatory Commission,2011-02-15,Environment,Nuclear Waste Disposal,Nuclear Regulatory Commission,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,681 F. 3d 471,"681 F. 3d 471 (D.C. Cir., Jun. 8, 2012) | links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2011.02.15-New-York-v.-Nuclear-Regulatory-Commission-Petition-for-Review-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=5142773376515150030&amp;q=11-1045&amp;hl=en&amp;as_sdt=6,50","The D.C. Circuit held for the states, vacating the NRC's rulemaking.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),In re Aiken County,2011-07-29,Environment,Nuclear Waste Cleanup,U.S. Department of Energy,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,725 F.3d 255,"725 F.3d 255 | links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2011.07.29-In-Re-Aiken-County-Petition-for-Writ-of-Mandamus-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=4044946221491972933&amp;q=725+F.3d+255&amp;hl=en&amp;as_sdt=6,50","The three-judge panel sided with the petitioner states, issuing a writ of mandamus to the Nuclear Regulatory Commission.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),Nebraska v. EPA,2011-09-19,Environment,Transport Rule,U.S. Environmental Protection Agency,adverse_tro_or_injunction,No Injunction Issued (Not Requested or No Judicial Action),Mixed Results (Initial Success Reversed on Appeal),"Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,134 S.Ct. 1584,"(2012.08.21) EME Homer City Generation v. EPA - Opinion of the Court [D.C. Cir.] 134 S.Ct. 1584 (SCOTUS, Apr. 29, 2014) (2015.07.28) EME Homer City Generation v. EPA - Opinion of the Court [D.C. Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2011.09.23-Nebraska-v.-EPA-Petition-for-Review-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=5213874655829875267&amp;q=134+S.Ct.+1584&amp;hl=en&amp;as_sdt=6,50&amp;as_ylo=2014&amp;as_yhi=2014; https://attorneysgeneral.org/wp-content/uploads/2019/06/2012.08.21-EME-Homer-City-Generation-v.-EPA-Opinion-of-the-Court-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=5213874655829875267&amp;q=EME+Homer+City+Generation+v.+EPA&amp;hl=en&amp;as_sdt=6,50&amp;as_ylo=2014&amp;as_yhi=2014; https://attorneysgeneral.org/wp-content/uploads/2019/06/2015.07.28-EME-Homer-City-Generation-v.-EPA-Opinion-of-the-Court-D.C.-Cir..pdf","The D.C. Circuit vacated the Transport Rule, but the U.S. Supreme Court reversed. On remand, the D.C. Circuit vacated some of the as-applied petitions to state emissions limits.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),Jepsen v. FERC,2011-11-29,Energy,Devon Power LLC Decisions,Federal Energy Regulatory Commission (DoE),state_loss,,"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,11-1465,links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2011.11.29-Jepsen-v.-FERC-Petition-for-Review-D.C.-Cir..pdf,"The D.C. Circuit dismissed the states' petitions, thus holding for FERC.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),Louisiana v. Salazar,2011-12-19,Energy,Oil and Gas Revenues,U.S. Department of the Interior,adverse_merits_or_partial_merits,No Injunction Issued (Not Requested or No Judicial Action),Mixed Results (Partial Success on Merits),"Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,170 F.Supp.3d 75,"links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2012.02.13-Alabama-v.-Salazar-Complaint-D.D.C..pdf; https://scholar.google.com/scholar_case?case=16340252069786720683&amp;q=11-2253+louisiana&amp;hl=en&amp;as_sdt=6,50","The district court held that the agency did not violate the APA in recalculating oil and gas lease revenue, but that its method of recouping payments from the states violated the law.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),Nebraska v. HHS,2012-02-23,Health Care,ACA Contraceptives Mandate,U.S. Department of Health and Human Services; U.S. Department of the Treasury; U.S. Department of Labor,adverse_tro_or_injunction; state_loss,,"Failure, Procedural Dismissal","Case Closed, Voluntarily Dismissed",Funding / grant or program cuts,No obvious EO link in AG metadata,877 F. Supp. 2d 777,"877 F. Supp. 2d 777 | links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2012.02.23-Nebraska-v.-HHS-Complaint-D.-Neb..pdf; https://scholar.google.com/scholar_case?case=17158585937885309143&amp;q=nebraska+v.+hhs&amp;hl=en&amp;as_sdt=6,50",The district court dismissed the states' case on standing and ripeness grounds. The states voluntarily dismissed their appeal to the 8th Cir. following final rules issued by HHS.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),Oklahoma v. EPA,2012-02-24,Environment,Oklahoma SIP,U.S. Environmental Protection Agency,state_loss,,"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,12-9526,(2013.10.31) Oklahoma v. EPA - Order Denying Rehearing [10th Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2012.02.24-Oklahoma-v.-EPA-Petition-for-Review-10th-Cir..pdf; https://attorneysgeneral.org/wp-content/uploads/2019/07/2013.10.31-Oklahoma-v.-EPA-Order-Denying-Rehearing-10th-Cir..pdf,"The 10th Circuit denied Oklahoma's petition, and the Supreme Court denied certiorari.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),Michigan v. EPA,2012-04-16,Environment,Mercury and Air Toxics Standards,U.S. Environmental Protection Agency,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,135 S. Ct. 2699,"(2014.04.15) Michigan v. EPA - Opinion [D.C. Cir.] 135 S. Ct. 2699 (SCOTUS, Jun. 29, 2015) | links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2012.04.16-Michigan-v.-EPA-Petition-for-Review-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=16142163764410348668&amp;hl=en&amp;as_sdt=6,50; https://attorneysgeneral.org/wp-content/uploads/2019/06/2014.04.15-Michigan-v.-EPA-Opinion-D.C.-Cir..pdf","The U.S. Supreme Court reversed and remanded the D.C. Circuit opinion, holding that EPA was required to consider costs in promulgating the rule. Following additional proceedings, the D.C. Circuit later remanded the rule to the EPA.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),White Stallion Energy Center v. EPA,2012-07-05,Environment,Mercury and Air Toxics Standards,U.S. Environmental Protection Agency,adverse_tro_or_injunction,,Neither Win Nor Loss,"Case Closed, Voluntarily Dismissed",Funding / grant or program cuts,No obvious EO link in AG metadata,12-1272,links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2012.08.06-White-Stallion-Energy-Center-v.-EPA-Brief-of-Intervenor-Petitioners-D.C.-Cir..pdf,"This case was severed from the main challenge to the rule (12-1100) to address narrower emissions issues. Following additional EPA rulemaking that was challenged in court in separate cases, the petitioners voluntarily dismissed this case.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),Mississippi Commission on Environmental Quality v. EPA,2012-07-09,Environment,NAAQS for Ozone,U.S. Environmental Protection Agency,state_loss,,"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,790 F.3d 138,"links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2012.07.19-Mississippi-Commission-on-Environmental-Quality-v.-EPA-Petition-for-Review-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=7285288459349336449&amp;q=13-1030&amp;hl=en&amp;as_sdt=6,50",The D.C. Circuit panel dismissed the petitions in their entirety.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (First Term),State National Bank of Big Spring v. Geithner,2012-09-20,Other,Dodd-Frank,U.S. Department of the Treasury; Consumer Financial Protection Bureau; Board of Governors of the Federal Reserve System; Federal Deposit Insurance Corporation; Financial Stability Oversight Council (Treasury),state_loss,,"Failure, Procedural Dismissal","Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,197 F. Supp. 3d 177,"795 F.3d 48 (D.C. Cir., Jul. 24, 2015) | links: https://attorneysgeneral.org/wp-content/uploads/2019/06/2012.09.20-State-National-Bank-of-Big-Spring-v.-Geithner-First-Amended-Complaint-D.D.C..pdf; https://scholar.google.com/scholar_case?case=9931675236732526411&amp;q=197+F.+Supp.+3d+177&amp;hl=en&amp;as_sdt=6,50; https://scholar.google.com/scholar_case?case=2579320757355913040&amp;q=13-5247&amp;hl=en&amp;as_sdt=6,50","On remand after the D.C. Circuit reversed the district court's dismissal of the case on standing grounds, the district court held against the plaintiffs. The Supreme Court denied certiorari.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Texas v. Crabtree,2013-04-22,Environment,Red Snapper Limits,U.S. Department of Commerce; National Oceanic and Atmospheric Administration (Commerce); National Marine Fisheries Service (Commerce),adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,1:13-cv-00070,links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2013.04.22-Texas-v.-Crabtree-Complaint-S.D.-Tex..pdf,"The district court granted summary judgment to the plaintiff states, thus vacating the rule.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Connecticut v. EPA,2013-05-02,Environment,NAAQS Designations for Ozone,U.S. Environmental Protection Agency,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,13-3556,links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2013.05.02-Connecticut-v.-EPA-Petition-for-Review-in-13-3556-6th-Cir..pdf,The case was vacated in part and remanded in light of SCOTUS's decision in EPA v. EME Homer City Generation .,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Massachusetts v. Blank,2013-05-30,Environment,Fishing Limits,U.S. Department of Commerce; National Oceanic and Atmospheric Administration (Commerce); National Marine Fisheries Service (Commerce),state_loss,,"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,1:13-cv-11301,(2014.04.08) Massachusetts v. Blank - Order Granting Summary Judgment for Defendants [D. Mass.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2013.05.30-Massachusetts-v.-Blank-Petition-for-Review-D.-Mass..pdf; https://attorneysgeneral.org/wp-content/uploads/2019/05/2014.04.08-Massachusetts-v.-Blank-Order-Granting-Summary-Judgment-for-Defendants-D.-Mass..pdf,The district court granted summary judgment to the federal defendants.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Oklahoma v. EPA,2013-07-16,Environment,Sue-and-Settle Allegations,U.S. Environmental Protection Agency,state_loss,,"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,5:13-cv-00726,(2013.12.18) Pruitt v. EPA - Order Dismissing Case [W.D. Okla.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2013.07.16-Pruitt-v.-EPA-Complaint-W.D.-Okla..pdf; https://attorneysgeneral.org/wp-content/uploads/2019/05/2013.12.18-Pruitt-v.-EPA-Order-Dismissing-Case-W.D.-Okla..pdf,The district court dismissed the case on 12/18/13.,First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Kobach v. U.S. Election Assistance Commission,2013-08-21,Voting and Elections,Voter Registration Forms,U.S. Election Assistance Commission,state_loss,,"Failure, Merits Decision","Case Closed, Appellate Court, Final Decision and Appeals Exhausted",Immigration / border policy,No obvious EO link in AG metadata,772 F.3d 1183,"links: https://attorneysgeneral.org/wp-content/uploads/2019/03/2013.08.21-Kobach-v.-U.S.-Election-Assistance-Commission-Complaint.pdf; https://scholar.google.com/scholar_case?case=3172946686547166602&amp;q=772+F.3d+1183&amp;hl=en&amp;as_sdt=3,50","The district court granted summary judgment to the states, but the Tenth Circuit reversed the decision.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Sierra Club v. McCarthy,2013-09-26,Environment,NAAQS Designations for Ozone,U.S. Environmental Protection Agency,state_loss,,"Failure, Merits Decision","Case Closed, Settled",Funding / grant or program cuts,No obvious EO link in AG metadata,868 F.3d 1062,"links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2013.09.26-Sierra-Club-v.-McCarthy-Motion-to-Intervene-N.D.-Cal..pdf; https://scholar.google.com/scholar_case?case=10914820682798826636&amp;q=sierra+club+v.+pruitt+kentucky&amp;hl=en&amp;as_sdt=6,50&amp;as_ylo=2017&amp;as_yhi=2017","The EPA entered into a consent decree with the environmental plaintiffs, which the 9th Circuit later upheld on appeal against the objections of the intervening states.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Wyoming v. EPA,2014-02-14,Environment,Tribal Authority over Environmental Policy,U.S. Environmental Protection Agency,adverse_merits_or_partial_merits,,"Success, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,849 F.3d 861,"849 F.3d 861 | links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2014.02.14-Wyoming-v.-EPA-Petition-for-Review-10th-Cir..pdf; https://scholar.google.com/scholar_case?case=4815129593161605513&amp;q=14-9512&amp;hl=en&amp;as_sdt=6,50","The 10th Circuit sided with the states, reversing and remanding the agency's decision.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),West Virginia v. EPA,2014-08-01,Environment,CO2 Emissions from Power Plants,U.S. Environmental Protection Agency,state_loss,,"Failure, Procedural Dismissal","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,788 F.3d 330,"788 F.3d 330 | links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2014.08.01-West-Virginia-v.-EPA-Petition-for-Review-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=9181520640355562886&amp;q=14-1151&amp;hl=en&amp;as_sdt=6,50","The D.C. Circuit dismissed the petition, holding that petitioners may challenge only final agency rules, and not merely proposed rules.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),New York v. U.S. Nuclear Regulatory Commission,2014-10-27,Environment,Storage of Spent Nuclear Fuel,Nuclear Regulatory Commission,state_loss,,"Failure, Merits Decision","Case Closed, Original Court, Final Decision and Appeals Exhausted",Environment / energy regulation,No obvious EO link in AG metadata,824 F.3d 1012,"(2016.06.03) New York v. U.S. Nuclear Regulatory Commission - Opinion Dismissing Petition [D.C. Cir.] | links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2014.10.27-New-York-v.-U.S.-Nuclear-Regulatory-Commission-Petition-for-Review-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=10991791739567399966&amp;q=14-1210&amp;hl=en&amp;as_sdt=6,50; https://attorneysgeneral.org/wp-content/uploads/2019/05/2016.06.03-New-York-v.-U.S.-Nuclear-Regulatory-Commission-Opinion-Dismissing-Petition-D.C.-Cir..pdf","The D.C. Circuit dismissed the states' petition, holding for the NRC.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
Barack Obama (Second Term),Murray Energy Corp. v. EPA,2014-11-26,Environment,CO2 Emissions from Power Plants,U.S. Environmental Protection Agency,state_loss,,"Failure, Procedural Dismissal","Case Closed, Original Court, Final Decision and Appeals Exhausted",Funding / grant or program cuts,No obvious EO link in AG metadata,788 F.3d 330,"788 F.3d 330 | links: https://attorneysgeneral.org/wp-content/uploads/2019/05/2014.12.22-Murray-Energy-Corp.-v.-EPA-Intervenor-Plaintiff-Brief-D.C.-Cir..pdf; https://scholar.google.com/scholar_case?case=9181520640355562886&amp;q=14-1151&amp;hl=en&amp;as_sdt=6,50","The D.C. Circuit dismissed the petition, holding that petitioners may challenge only final agency rules, and not merely proposed rules.",First-pass AG metadata/opinion-title scan; verify EO linkage against opinion/complaint text before trigger coding.
