media_id,term,episode,date_or_period,institutional_question,source_1_name,source_1_url,source_2_name,source_2_url,primary_source_name,primary_source_url,primary_source_status,arrp_coverage_status,provisional_arrp_routes,screening_recommendation,last_checked,notes
MEDIA-011,2,Presidential direction to investigate ActBlue fundraising,2025-04,"Whether the President may direct criminal civil and regulatory scrutiny toward a named opposing-party fundraising platform without neutral predicates and independent initiation safeguards",Associated Press,https://www.ap.org/news-highlights/spotlights/2025/trump-wants-an-investigation-of-democrats-fundraising-his-own-campaign-has-issues/,Washington Post,https://www.washingtonpost.com/politics/2025/04/24/trump-act-blue-bondi-investigate-fundraising/,Presidential memorandum on election contributions,https://www.whitehouse.gov/presidential-actions/2025/04/investigation-into-unlawful-straw-donor-and-foreign-contributions-in-american-elections/,verified-primary,existing-manifestation,"DOJ-003; ELEC-014; A-19",advance-for-neutral-predicate-and-duplicate-review,2026-07-15,"The memorandum identifies broader contribution concerns but expressly foregrounds ActBlue; do not assume the underlying allegations are false."
MEDIA-012,2,Presidential memoranda directing review of Chris Krebs and Miles Taylor,2025-04,"Whether individualized presidential directives can trigger clearance contract or agency investigations as retaliation for protected speech or prior service",Associated Press,https://apnews.com/article/b4f13e61b84afce7874c6500e8b891bd,NPR,https://www.npr.org/2025/04/29/nx-s1-5327518/donald-trump-100-days-retribution-threats,Presidential memoranda concerning Krebs and Taylor,https://www.whitehouse.gov/presidential-actions/2025/04/addressing-risks-from-chris-krebs-and-government-censorship/,verified-primary,existing-manifestation,"RET-001; A-19",advance-as-individualized-retaliation-pattern,2026-07-15,"Retrieve and separately code both memoranda and any resulting agency action."
MEDIA-013,2,Schedule Policy/Career reclassification of career employees,2025 onward,"Whether large-scale loss of civil-service removal protections permits partisan control or retaliation within career functions",Associated Press,https://apnews.com/article/e6e4cf979b910b0f89877a9a09e7c4a4,Reuters,https://www.investing.com/news/economy-news/trump-administration-to-end-job-protections-for-up-to-50000-federal-workers-4487941,OPM final rule,https://www.federalregister.gov/documents/2026/02/05/2026-02240/improving-performance-accountability-and-responsiveness-in-the-civil-service,verified-primary,existing-manifestation,"CIV-001; A-08",merge-into-existing-horizon-disposition,2026-07-15,"HOR-011 already integrated this issue; retain as a corroborated manifestation and source update."
MEDIA-014,2,Private dinner access tied to purchases of the President's meme coin,2025-04 to 2025-05,"Whether anonymous or foreign purchasers can confer private financial benefit in exchange for presidential access without disclosure consent or enforceable conflict controls",Associated Press,https://apnews.com/article/75063140a2223eb2698db7435dfaf5ac,Reuters,https://www.investing.com/news/world-news/trump-draws-global-crypto-investors-with-148-million-meme-coin-dinner-4059550,House Judiciary inquiry and source appendix,https://democrats-judiciary.house.gov/sites/evo-subsites/democrats-judiciary.house.gov/files/evo-media-document/2025-05-28_raskin_to_trump_wh_re_crypto_dinner.pdf,verified-official-inquiry,existing-manifestation,"EMOL-001; A-06",advance-for-disclosure-and-enforcement-gap-review,2026-07-15,"Official inquiry is not proof of a violation; blockchain and beneficial-owner evidence should anchor any specific foreign-source claim."
MEDIA-015,2,Trump Media transactions with crypto firms subject to federal regulation,2025,"Whether presidential financial interests and official regulatory policy create unmanaged or undisclosed conflicts involving regulated counterparties",Associated Press,https://www.ap.org/news-highlights/spotlights/2025/how-a-trump-media-deal-with-a-crypto-firm-exposes-potential-conflicts-of-interest/,Reuters,https://www.investing.com/news/stock-market-news/factboxtrumps-business-ventures-spark-new-conflictofinterest-concerns-3906809,Trump Media SEC filings,https://www.sec.gov/edgar/browse/?CIK=1849635&owner=exclude,verified-primary-corpus,existing-manifestation,"EMOL-001; A-06",verify-transaction-specific-filings,2026-07-15,"Do not infer an official quid pro quo from temporal proximity alone."
MEDIA-016,2,Acceptance of a Qatari aircraft for presidential use with planned library transfer,2025 onward,"Whether routing an extraordinary foreign-government benefit through the Defense Department and a presidential-library organization evades constitutional statutory disclosure or ownership safeguards",Reuters,https://www.investing.com/news/stock-market-news/qatars-offer-of-747-aircraft-to-trump-is-a-normal-thing-that-happens-between-allies-pm-says-4054110,Time,https://time.com/7284972/trump-qatar-jet-saudi-arabia/,Senate request for Defense Department inquiry,https://www.duckworth.senate.gov/download/letter-request-dod-inquiry-into-trumps-acceptance-of-qatari-plane%26download%3D1,verified-official-inquiry,existing-manifestation,"EMOL-001; A-06",retrieve-acceptance-and-transfer-instruments,2026-07-15,"The government-to-library transaction documents are more probative than public descriptions of the planned transfer."
MEDIA-017,2,DOGE authority and conflicts involving Musk-regulated or government-contractor businesses,2025,"Whether a special government employee or informal operational leader can direct actions affecting agencies that regulate or contract with his companies without ordinary appointment disclosure and recusal controls",ProPublica,https://www.propublica.org/article/doge-leadership-elon-musk-amy-gleason-trump-ethics-conflict-of-interest,Le Monde,https://www.lemonde.fr/en/pixels/article/2025/03/09/behind-musk-s-doge-a-collection-of-potential-conflicts-of-interest_6738962_13.html,State attorneys general complaint concerning DOGE authority,https://www.nj.gov/oag/newsreleases25/2025-0213_DOGE-Complaint.pdf,verified-primary-copy,existing-manifestation,"CIV-009; APPT-004; EMOL-001; A-08",advance-for-appointments-and-conflict-boundary-review,2026-07-15,"Separate appointment authority data access contract cancellation and personal financial conflicts rather than treating DOGE as one issue."
MEDIA-018,2,Use of Signal for senior-official discussion of Yemen strike plans,2025-03,"Whether ephemeral consumer messaging by senior officials defeats classified-information records-preservation and accountable war-decision processes",Associated Press,https://apnews.com/article/507d6c692d0cfdfe53e687c0801fd46b,Reuters,https://www.investing.com/news/politics-news/judge-orders-trump-administration-to-preserve-yemen-attack-plan-messages-3953090,Congressional exhibit reproducing the chat,https://www.congress.gov/119/meeting/house/118060/documents/HMKP-119-GO00-20250325-SD021.pdf,verified-primary-copy,existing-proposal-likely,"REC-001; CLASS; WAR-001; JUD-001",advance-for-records-and-security-remedy-fit,2026-07-15,"The exact classification status was disputed; records-preservation and use-of-system questions do not depend entirely on classification."
MEDIA-019,2,Executive direction over Smithsonian historical and cultural content,2025 onward,"Whether the President may use funding and appointment influence to control content at a congressionally structured trust institution without clear statutory standards",Associated Press,https://apnews.com/article/558ebfab722f603e94e02a1a4b06ed4d,Reuters,https://www.investing.com/news/politics-news/trump-signs-order-aiming-to-eliminate-antiamerican-ideology-from-smithsonian-institutions-3953389,Executive Order 14253,https://www.federalregister.gov/documents/2025/04/03/2025-05838/restoring-truth-and-sanity-to-american-history,verified-primary,coverage-review-needed,"A-18; A-23; FUND-001",test-institutional-defect-versus-political-failure,2026-07-15,"Congressional structure appropriations and Board of Regents authority must be examined before treating curatorial policy as an institutional failure."
MEDIA-020,2,Blanket clemency for January 6 defendants including violent and seditious-conspiracy offenders,2025-01,"Whether any repairable transparency conflict or self-protection weakness exists despite the Constitution's broad pardon power",Associated Press,https://apnews.com/article/8ce8b2a8f8cb602d5eaf85ac7b969606,Reuters,https://www.investing.com/news/world-news/factboxthe-most-highprofile-jan-6-defendants-to-receive-clemency-from-trump-3820875,Presidential clemency proclamation,https://www.govinfo.gov/app/details/DCPD-202500112,verified-primary,political-or-constitutional-boundary,"A-04; ELEC; DOJ",presumptively-do-not-advance-without-distinct-defect,2026-07-15,"The unpopular or sweeping exercise of a constitutional power is not itself an institutional defect; test disclosure self-protection and obstruction boundaries only."
MEDIA-021,2,Conditioning counterterrorism grants on state election-policy changes,2026,"Whether unrelated public-safety grants may be conditioned on state compliance with executive election directives without clear congressional authorization",Associated Press,https://apnews.com/article/3ec6b7838c97342965416756c0b83496,Reuters,https://www.marketscreener.com/news/trump-administration-to-require-states-to-adopt-election-security-measures-to-receive-fema-funds-dh-ce7f5edfdb80f522,FEMA grant conditions described in agency communications,,primary-retrieval-needed,existing-manifestation,"FED-003; ELEC-014; FUND-001",retrieve-notice-of-funding-opportunity,2026-07-15,"Already incorporated into federalism and election work; preserve as a high-value primary-document retrieval task."
MEDIA-022,2,Threats to withhold federal funds from sanctuary jurisdictions,2025 onward,"Whether the executive may impose broad immigration-cooperation conditions on unrelated federal grants without congressional authorization or germaneness",Reuters,https://www.investing.com/news/economy-news/judge-blocks-trump-from-withholding-funds-from-los-angeles-other-sanctuary-cities-4208332,NPR,https://www.kpbs.org/news/national/2026/01/17/trump-is-threatening-to-cut-funding-from-sanctuary-cities-heres-what-to-know,Executive Order 14218,https://www.federalregister.gov/documents/2025/01/28/2025-01957/ending-taxpayer-subsidization-of-open-borders,verified-primary,existing-manifestation,"FED-003; FUND-001; JUD-011",monitor-and-merge-into-fed-003,2026-07-15,"ARRP does not take a position on sanctuary policy; the institutional question is funding authority and federalism."
MEDIA-023,2,Sanctions and pressure intended to isolate or dismantle the International Criminal Court,2025 onward,"Whether emergency economic authorities can supply a sanctions policy that Congress considered but did not specifically enact",Associated Press,https://apnews.com/article/588e29cf3d5e67ab28eb4ac8027e33ea,Reuters,https://www.investing.com/news/world-news/trump-administration-launches-effort-to-isolate-international-criminal-court-4788814,Executive Order 14203,https://www.federalregister.gov/documents/2025/02/12/2025-02612/imposing-sanctions-on-the-international-criminal-court,verified-primary,existing-manifestation,"EMERG-003; HOR-030",merge-into-existing-horizon-disposition,2026-07-15,"HOR-030 already placed the institutional defect in emergency-powers authority rather than ICC membership policy."
MEDIA-024,2,Reduction of Bears Ears and Grand Staircase-Escalante National Monuments,2026-07,"Whether the Antiquities Act implicitly permits a successor President to materially diminish an established monument absent an act of Congress",Associated Press,https://apnews.com/article/69f14749f13a7ac6fb6ee07ce4cd84bf,Axios,https://www.axios.com/local/salt-lake-city/2026/07/13/trump-cuts-grand-staircase-escalante-bears-ears-national-monuments-utah,Bears Ears modification proclamation,https://www.whitehouse.gov/presidential-actions/2026/07/modifying-the-bears-ears-national-monument/,verified-primary,existing-horizon-monitor,"HOR-031; A-23; A-15",monitor-identified-litigation,2026-07-15,"HOR-031 already pauses remedy development pending the Garfield County remand and challenges to the 2026 proclamations."
MEDIA-025,1,Removal or displacement of multiple inspectors general after oversight activity,2020,"Whether presidential removal of watchdogs can neutralize pending oversight when notice requirements lack meaningful cause disclosure or timely remedies",Reuters,https://www.yahoo.com/news/trump-fires-intelligence-official-involved-032034727.html,ABC News,https://abcnews.go.com/US/pelosi-democrats-decry-trumps-shameful-firing-inspector-general/story?id=69973679,House hearing on the State Department Inspector General removal,https://www.govinfo.gov/content/pkg/CHRG-116hhrg43319/pdf/CHRG-116hhrg43319.pdf,verified-official-record,existing-manifestation,"A-09; JUD-001; JUD-011",combine-with-second-term-remedy-gap,2026-07-15,"Use the first-term sequence as recurrence evidence; distinguish removals acting-designation changes and temporary displacement."
MEDIA-026,1,Creation of Schedule F for policy-influencing career positions,2020-10,"Whether an executive classification can remove ordinary civil-service protections from a broad class of career positions",Associated Press,https://apnews.com/article/e6e4cf979b910b0f89877a9a09e7c4a4,Reuters,https://www.investing.com/news/economy-news/trump-administration-to-end-job-protections-for-up-to-50000-federal-workers-4487941,Executive Order 13957,https://www.govinfo.gov/app/details/DCPD-202000792,verified-primary,existing-manifestation,"CIV-001; HOR-011",merge-with-media-013,2026-07-15,"The reporting is retrospective but independently corroborates the first-term order and its second-term continuation."
MEDIA-027,1,Government political and pardon-seeker spending at Trump-owned properties,2017-2021,"Whether federal and foreign-government patronage of presidential businesses can produce private benefit without adequate disclosure pricing and enforcement controls",Associated Press,https://apnews.com/article/19953ac3aceecefbe17c0cf904584214,ProPublica,https://www.propublica.org/article/political-and-taxpayer-spending-at-trump-properties-16-1-million,House Oversight report on presidential-property spending,https://www.congress.gov/117/crpt/hrpt699/CRPT-117hrpt699.pdf,verified-official-record,existing-manifestation,"EMOL-001; A-06",advance-as-historical-pattern-and-remedy-test,2026-07-15,"Use transaction-level records rather than assuming every official stay was directed or overpriced."
MEDIA-028,1,Inaugural committee payments to the Trump International Hotel,2016-2017,"Whether an inaugural nonprofit and presidential business can transact on non-arm's-length terms without adequate conflict and disclosure safeguards",ProPublica,https://www.propublica.org/article/trump-inc-new-evidence-emerges-of-possible-wrongdoing-by-trump-inaugural-committee,ABC News,https://abcnews.go.com/Politics/dc-attorney-generals-office-sues-trump-inaugural-committee/story?id=68452841,District of Columbia complaint,https://oag.dc.gov/sites/default/files/2020-01/Trump-PIC-Complaint.pdf,verified-primary-copy,existing-manifestation,"EMOL-001; A-06; ELEC-012",retain-as-comparator-not-presumed-federal-defect,2026-07-15,"The civil case later settled without admission; test whether existing nonprofit campaign and inaugural rules already supply the remedy."
MEDIA-029,1,Selection of Trump National Doral for the 2020 G7 summit and later reversal,2019-10,"Whether presidential control over event-site selection can direct public and foreign spending to a presidential business before review occurs",Washington Post,https://www.washingtonpost.com/politics/trump-says-hell-host-g7-summit-at-cost-at-his-resort--but-provides-few-details/2019/10/18/43efae58-f1c0-11e9-b648-76bcf86eb67e_story.html,Los Angeles Times,https://www.latimes.com/politics/story/2019-10-17/white-house-g7-meeting-venue,Congressional Record concerning the Doral selection,https://www.govinfo.gov/content/pkg/CREC-2019-10-21/pdf/CREC-2019-10-21.pdf,verified-official-record,existing-manifestation,"EMOL-001; A-06",advance-as-review-evasion-and-procurement-comparator,2026-07-15,"The selection was reversed before the summit; assess whether withdrawal avoided a durable merits or procurement ruling."
MEDIA-030,1,White House and Commerce pressure surrounding NOAA's Hurricane Dorian statement,2019-09,"Whether political officials can compel or delay agency scientific communications without enforceable scientific-integrity and correction safeguards",Washington Post,https://www.washingtonpost.com/weather/2020/07/09/sharpiegate-inspector-general-final-report/,Ars Technica,https://arstechnica.com/science/2020/07/commerce-department-sharpiegate-report-blocked-by-leadership/,Commerce Inspector General report,https://www.oig.doc.gov/OIGPublications/OIG-20-032-I.pdf,verified-primary,existing-manifestation,"A-18; FACT; A-09",merge-into-existing-science-integrity-coverage,2026-07-15,"The Inspector General and scientific-integrity findings are the controlling substantiation; media labels should not replace the official findings."
MEDIA-031,1,OMB withholding of congressionally appropriated Ukraine security assistance,2019,"Whether appropriated funds can be withheld for executive policy or political objectives when the Impoundment Control Act supplies no automatic corrective remedy",ABC News,https://abcnews.go.com/Politics/trump-violated-law-withholding-ukraine-aid-government-watchdog/story?id=68327172,CBS News,https://www.cbsnews.com/news/white-house-violated-law-withholding-ukraine-aid-government-accountability-office-says-today-2020-01-16/,GAO decision B-331564,https://www.gao.gov/products/b-331564,verified-primary,existing-manifestation,"FUND-001; FUND-002; JUD-011",advance-as-core-historical-example,2026-07-15,"GAO found an Impoundment Control Act violation; the remedy and enforcement gap is central to existing ARRP work."
MEDIA-032,1,Family-separation implementation and failures to track and reunify families,2018 onward,"Whether interagency enforcement policy may proceed without integrated identity tracking reunification duties and accountable implementation review",Reuters,https://news.trust.org/item/20180620232819-4e8mq,Washington Post,https://www.washingtonpost.com/politics/2018/10/12/trump-administrations-questionable-data-family-separations/,DHS Inspector General special review,https://www.oig.dhs.gov/sites/default/files/assets/2018-10/OIG-18-84-Sep18.pdf,verified-primary,existing-manifestation,"RIGHTS-002; RIGHTS-003; A-14",verify-existing-remedy-completeness,2026-07-15,"Keep the policy merits separate from the institutional failures in planning tracking notice and reunification."
MEDIA-033,2,Immediate removal of court-appointed United States attorneys,2025-02 to 2026-07,"Whether presidential removal and acting-service maneuvers can nullify the judicial appointment backstop in 28 U.S.C. § 546(d) while the Executive avoids nominating a Senate-confirmed United States attorney",Associated Press,https://apnews.com/article/8a032be7b44b9b3d927d17e1ccbd1f4a,Bloomberg Law,https://news.bloomberglaw.com/business-and-practice/seattle-judges-select-a-new-us-attorney-replacing-trump-pick,W.D. Wash. General Order 09-26,https://www.wawd.uscourts.gov/sites/wawd/files/WDWA%20US%20Attorney%20Appointment%20Order%20%287-15-2026%29.pdf,verified-primary,incorporated-existing-proposal,APPT-001,incorporated-as-manifestation-and-statutory-design-example,2026-07-16,"Primary ownership is the consolidated APPT-001 appointments and confirmation-safeguards proposal. Do not presume the removals unlawful: 28 U.S.C. § 541(c), United States v. Hilario, and a 1979 OLC opinion support presidential removal authority. The possible defect is that removal plus acting-service mechanisms can defeat Congress's court-appointment and Senate-confirmation backstops. General Order 09-26 also documents the February 2025 removal of prior court-appointed U.S. Attorney Tessa Gorman without a confirmed successor. DOJ issue coverage should be added only if evidence connects a particular appointment maneuver to interference in a criminal matter or selective enforcement."
