source_id,source_name,term_scope,coverage_domain,source_type,url,intake_status,expected_value,known_limitation,last_checked
TAS-017,White House Presidential Actions,Second term,Presidential directives and announcements,Official action corpus,https://www.whitehouse.gov/presidential-actions/,registered-as-primary-backbone,Prompt official text and supporting administration characterization,Pages may change and legal claims require independent verification,2026-07-15
TAS-018,Archived Trump White House Presidential Actions,First term,Presidential directives and announcements,Official archived corpus,https://trumpwhitehouse.archives.gov/presidential-actions/,registered-as-primary-backbone,First-term official texts and contemporaneous descriptions,Archive search and document-type coverage require systematic extraction,2026-07-15
TAS-019,Compilation of Presidential Documents,Both terms,Presidential statements orders proclamations and communications,Official archival corpus,https://www.govinfo.gov/app/collection/CPD,registered-as-primary-backbone,Stable official PDFs and citation-quality presidential records,Does not identify legal controversy or downstream agency implementation,2026-07-15
TAS-020,GAO Appropriations Law Decisions,Both terms,Impoundment spending purpose and Antideficiency Act questions,Official legal decisions,https://www.gao.gov/legal/appropriations-law-decisions,registered-for-official-findings,Authoritative congressional-branch legal findings on expenditure compliance,Search must distinguish administration actions from unrelated bid and appropriations decisions,2026-07-15
TAS-021,Office of Special Counsel 2020 RNC Hatch Act Report,First term,Official political activity by executive officials,Official investigative report,https://www.osc.gov/news/2021-11-09/osc-issues-hatch-act-report-documenting-violations-by-13-senior-trump-administration-officials-including-at-the-2020-republican-national-convention/,registered-as-gap-source,Documents violations and enforcement weaknesses involving senior officials,One episode and later-issued report require broader Hatch Act source development,2026-07-15
TAS-022,Oversight.gov Reports,Both terms,Inspectors general audits investigations and management alerts,Official report portal,https://www.oversight.gov/reports,registered-for-official-findings,Finds non-litigated legal compliance and oversight failures,Distributed metadata and agency-specific terminology complicate exhaustive search,2026-07-15
TAS-023,CREW Trump conflicts-of-interest tracker,First term,Presidential business and governmental interactions,Watchdog action tracker,https://www.citizensforethics.org/reports-investigations/crew-reports/tracking-president-trumps-unprecedented-conflicts-of-interest/,registered-for-domain-ingestion,High-volume event catalog relevant to EMOL and ethics enforcement,Conflict designation is a watchdog standard and entries need primary-source verification,2026-07-15
TAS-024,CREW second-term corruption and conflicts tracker,Second term,Presidential business gifts crypto and governmental interactions,Watchdog collection,https://www.citizensforethics.org/reports-investigations/crew-investigations/crew-is-tracking-trumps-unprecedented-corruption-again/,registered-for-domain-ingestion,Continuing second-term ethics and emoluments discovery,Must separate legal defects from appearance concerns and ordinary political criticism,2026-07-15
TAS-025,Brennan Center campaign to undermine elections collection,Second term,Federal election administration and executive interference,Subject collection,https://www.brennancenter.org/series/trump-administrations-campaign-undermine-elections,registered-for-domain-ingestion,Chronology litigation and institutional analysis for A-02,Advocacy characterization requires primary-source verification,2026-07-15
TAS-026,Brennan Center abuse of executive power collection,Both terms,Executive authority emergency powers domestic deployment and agency independence,Subject collection,https://www.brennancenter.org/fighting-abuse-executive-power,registered-for-domain-ingestion,Reform-oriented cross-domain leads and litigation analysis,Selective collection rather than exhaustive action database,2026-07-15
TAS-027,Project 2025 Executive Action Tracker,Second term,Implementation of Project 2025 proposals,Implementation tracker,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,registered-for-crosswalk-refresh,Finds planned and implemented institutional mechanisms independent of litigation,Implementation alignment and legal question require separate verification,2026-07-15
TAS-028,Trump Docket,Both terms,Cases naming Donald Trump his businesses or campaign,Public-record litigation dataset,https://trumpdocket.org/,registered-as-safety-net,Downloadable CourtListener-based case universe for personal and business litigation,Omits many administration-action cases captioned only against agencies or officials,2026-07-15
TAS-029,CourtListener RECAP,Both terms,Federal court dockets opinions and filings,Primary-record aggregation,https://www.courtlistener.com/,registered-as-case-backbone,Representative complaints orders opinions and docket posture,RECAP coverage is incomplete and docket interpretation remains manual,2026-07-15
TAS-030,U.S. Supreme Court docket search,Both terms,Supreme Court merits and emergency applications,Official court record,https://www.supremecourt.gov/docket/docket.aspx,registered-for-final-posture-normalization,Final merits decisions stays vacaturs and emergency relief,Search and application-history normalization must be performed case by case,2026-07-15
TAS-031,Congressional Research Service reports,Both terms,Statutory authority constitutional doctrine and congressional responses,Nonpartisan congressional analysis,https://crsreports.congress.gov/,registered-for-doctrine-and-legislation,Authority analysis legislative history and enacted or failed congressional responses,Not an action tracker and some questions may not yet have a dedicated report,2026-07-15
TAS-032,House January 6 Select Committee final report,First term,2020 election subversion and executive conduct,Official congressional report,https://www.govinfo.gov/app/details/GPO-J6-REPORT,registered-existing-crosswalk-source,Findings testimony chronology and referrals relevant to existing election issues,Committee findings require source-level and adversarial-record awareness,2026-07-15
TAS-033,Mueller Report,First term,Russian election interference obstruction and presidential conduct,Official special-counsel report,https://www.justice.gov/archives/sco/file/1373816/dl,already-crosswalked,Investigative findings and legal analysis already routed through ARRP crosswalk,Scope is confined to the special counsel investigation,2026-07-15
TAS-034,Senate Intelligence Committee Russia reports,First term,Foreign election interference counterintelligence and campaign contacts,Official bipartisan committee reports,https://www.intelligence.senate.gov/2020/08/18/report-select-committee-intelligence-united-states-senate-russian-active-measures-campaigns-and-interference-2016-u-s-election/,registered-existing-horizon-source,Bipartisan intelligence findings supporting HOR-023 source development,Classified redactions and specialized scope limit completeness,2026-07-15
TAS-035,Associated Press Trump coverage,Both terms,Cross-government reported actions litigation and institutional effects,General-interest news reporting,https://apnews.com/hub/donald-trump,registered-for-two-source-media-corroboration,Independent event discovery and contemporaneous reporting often linked to court and agency records,Not an action database and individual reports require primary-source and duplicate review,2026-07-15
TAS-036,Reuters U.S. politics and legal coverage,Both terms,Cross-government reported actions litigation business interests and legal outcomes,Wire-service news reporting,https://www.reuters.com/world/us/,registered-for-two-source-media-corroboration,Independent event confirmation and later procedural or market-document follow-up,Topical pages are not exhaustive and syndicated URLs may be more stable than Reuters originals,2026-07-15
TAS-037,NPR Trump power-and-retaliation reporting,Second term,Agency use retaliation media public institutions and executive power,Public-service news reporting,https://www.npr.org/2025/04/29/nx-s1-5327518/donald-trump-100-days-retribution-threats,registered-for-two-source-media-corroboration,Named-target and cross-agency synthesis useful for finding episodes missed by litigation trackers,Synthesis framing must be reduced to event-level claims and checked against another outlet and primary records,2026-07-15
TAS-038,ProPublica Trump administration topic,Both terms,Conflicts spending ethics records personnel and administrative implementation,Investigative news collection,https://www.propublica.org/topics/trump-administration,registered-for-two-source-media-corroboration,Document-heavy investigations and transaction-level leads that may not generate immediate litigation,Investigative selections are not exhaustive and legal characterization requires independent verification,2026-07-15
