Issue ID,Area ID,Title,Development Status,Audit Runs,Proposal Quality Score,Audit Status,Last Audit Type,Last Audit Date,Score Basis,Next Audit Need,Audit Rubric Version,Rebaseline Status,Rebaseline Notes,Adoption Friction Score,Adoption Friction Band,Adoption Friction Notes,Required Electoral Environment,Pathway Viability,Development Priority,Pathway Adjustment,Enactment Pathway Notes
ELEC-002,A-02,Pressure on Certification and Canvassing Officials,Developed,4,74,T3 readiness audit complete; T4 publication audit and external review pending,T3 readiness audit,2026-06-28,"T3 component rebaseline: Structural 8/8; Evidence 9/12; Legal Fit 7/10; Prior Proposal 5/8; Remedy 10/12; Implementation 6/8; Abuse Resistance 7/8; Drafting 7/8; Cogency 6/6; Adoption 5/12; Project Integration 4/4; External Review 0/4; Penalties 0. T3 clarified source limitations, confirmed state-law-first vehicle fit, verified issue-to-legislation alignment, and sharpened publication blockers.","Run T4 publication-ready audit. Prioritize primary court orders or official state records, representative state certification statutes, standing and direct-certification authority, penalty calibration, election-administrator validation, and whether to add optional state appropriation or federal-floor notes.",2026-06-27.2,current,"Current under rubric 2026-06-27.2 after T3 readiness audit; proposal remains just below Review Ready because primary source support and state-specific implementation analysis remain incomplete.",58,Significant Resistance,"Significant resistance because the proposal constrains local certification discretion, may draw state election-administration and partisan objections, and requires state-by-state adoption, but it preserves narrow defect correction and is less federally intrusive than national election-administration reform.",state-level-pathway,state-by-state,active,model-law,"Primary vehicle is state-by-state model legislation. Staged development should focus on official state-law/court records, administrator support, substitute-certifier design, and narrow penalty calibration."
ELEC-003,A-02,Insufficient Protection for Election Workers and Officials,Developed,1,60,Structural audit complete; advanced audits pending,Initial framework and inventory audit,2026-06-24,"Issue has a developed page and linked legislation path, and has passed current structural inventory review; source, legal-fit, prior-proposal, and adoption audits remain incomplete.","Complete source verification, existing-law fit, prior-proposal survey, political-language neutrality, coalition-appeal, and implementation-risk audits.",pre-2026-06-27.1,hard-rebaseline-needed,Developed proposal score predates explicit rubric-version tracking or full component rebaseline; recalculate under current rubric during the next T2/T3/T4 audit. Adoption friction also remains unassessed under rubric 2026-06-26.2. Rubric 2026-06-27.1 added a required evidence-bound T1 Enactment Pathway Check that can affect Adoption and Implementation scoring.,,Unassessed,Adoption friction companion metric added in rubric 2026-06-26.2; assign during the next substantive audit rather than inferring retroactively.,unassessed,unassessed,unassessed,unassessed,"Required T1 enactment-pathway check added in rubric 2026-06-27.1; assess using sourced electoral, legislative, polling, historical, judicial, and institutional evidence during the next substantive audit."
ELEC-004,A-02,Abuse of Election Litigation and Investigatory Mechanisms,Developed,1,60,Structural audit complete; advanced audits pending,Initial framework and inventory audit,2026-06-24,"Issue has a developed page and linked legislation path, and has passed current structural inventory review; source, legal-fit, prior-proposal, and adoption audits remain incomplete.","Complete source verification, existing-law fit, prior-proposal survey, political-language neutrality, coalition-appeal, and implementation-risk audits.",pre-2026-06-27.1,hard-rebaseline-needed,Developed proposal score predates explicit rubric-version tracking or full component rebaseline; recalculate under current rubric during the next T2/T3/T4 audit. Adoption friction also remains unassessed under rubric 2026-06-26.2. Rubric 2026-06-27.1 added a required evidence-bound T1 Enactment Pathway Check that can affect Adoption and Implementation scoring.,,Unassessed,Adoption friction companion metric added in rubric 2026-06-26.2; assign during the next substantive audit rather than inferring retroactively.,unassessed,unassessed,unassessed,unassessed,"Required T1 enactment-pathway check added in rubric 2026-06-27.1; assess using sourced electoral, legislative, polling, historical, judicial, and institutional evidence during the next substantive audit."
ELEC-005,A-02,Weak Safeguards Against False Presidential Result-Transmission Documents,Developed,1,60,Structural audit complete; advanced audits pending,Initial framework and inventory audit,2026-06-24,"Issue has a developed page and linked legislation path, and has passed current structural inventory review; source, legal-fit, prior-proposal, and adoption audits remain incomplete.","Complete source verification, existing-law fit, prior-proposal survey, political-language neutrality, coalition-appeal, and implementation-risk audits.",pre-2026-06-27.1,hard-rebaseline-needed,Developed proposal score predates explicit rubric-version tracking or full component rebaseline; recalculate under current rubric during the next T2/T3/T4 audit. Adoption friction also remains unassessed under rubric 2026-06-26.2. Rubric 2026-06-27.1 added a required evidence-bound T1 Enactment Pathway Check that can affect Adoption and Implementation scoring.,,Unassessed,Adoption friction companion metric added in rubric 2026-06-26.2; assign during the next substantive audit rather than inferring retroactively.,unassessed,unassessed,unassessed,unassessed,"Required T1 enactment-pathway check added in rubric 2026-06-27.1; assess using sourced electoral, legislative, polling, historical, judicial, and institutional evidence during the next substantive audit."
ELEC-006,A-02,Insufficiently Automatic Presidential-Transition Procedures,Developed,1,60,Structural audit complete; advanced audits pending,Initial framework and inventory audit,2026-06-24,"Issue has a developed page and linked legislation path, and has passed current structural inventory review; source, legal-fit, prior-proposal, and adoption audits remain incomplete.","Complete source verification, existing-law fit, prior-proposal survey, political-language neutrality, coalition-appeal, and implementation-risk audits.",pre-2026-06-27.1,hard-rebaseline-needed,Developed proposal score predates explicit rubric-version tracking or full component rebaseline; recalculate under current rubric during the next T2/T3/T4 audit. Adoption friction also remains unassessed under rubric 2026-06-26.2. Rubric 2026-06-27.1 added a required evidence-bound T1 Enactment Pathway Check that can affect Adoption and Implementation scoring.,,Unassessed,Adoption friction companion metric added in rubric 2026-06-26.2; assign during the next substantive audit rather than inferring retroactively.,unassessed,unassessed,unassessed,unassessed,"Required T1 enactment-pathway check added in rubric 2026-06-27.1; assess using sourced electoral, legislative, polling, historical, judicial, and institutional evidence during the next substantive audit."
ELEC-007,A-02,Improper Federal-Force Presence in Election Administration,Developed,1,60,Structural audit complete; advanced audits pending,Initial framework and inventory audit,2026-06-24,"Issue has a developed page and linked legislation path, and has passed current structural inventory review; source, legal-fit, prior-proposal, and adoption audits remain incomplete.","Complete source verification, existing-law fit, prior-proposal survey, political-language neutrality, coalition-appeal, and implementation-risk audits.",pre-2026-06-27.1,hard-rebaseline-needed,Developed proposal score predates explicit rubric-version tracking or full component rebaseline; recalculate under current rubric during the next T2/T3/T4 audit. Adoption friction also remains unassessed under rubric 2026-06-26.2. Rubric 2026-06-27.1 added a required evidence-bound T1 Enactment Pathway Check that can affect Adoption and Implementation scoring.,,Unassessed,Adoption friction companion metric added in rubric 2026-06-26.2; assign during the next substantive audit rather than inferring retroactively.,unassessed,unassessed,unassessed,unassessed,"Required T1 enactment-pathway check added in rubric 2026-06-27.1; assess using sourced electoral, legislative, polling, historical, judicial, and institutional evidence during the next substantive audit."
ELEC-008,A-02,Accountability for Coordinated Federal Election-Subversion Schemes,Developed,1,60,Structural audit complete; advanced audits pending,Initial framework and inventory audit,2026-06-24,"Issue has a developed page and linked legislation path, and has passed current structural inventory review; source, legal-fit, prior-proposal, and adoption audits remain incomplete.","Complete source verification, existing-law fit, prior-proposal survey, political-language neutrality, coalition-appeal, and implementation-risk audits.",pre-2026-06-27.1,hard-rebaseline-needed,Developed proposal score predates explicit rubric-version tracking or full component rebaseline; recalculate under current rubric during the next T2/T3/T4 audit. Adoption friction also remains unassessed under rubric 2026-06-26.2. Rubric 2026-06-27.1 added a required evidence-bound T1 Enactment Pathway Check that can affect Adoption and Implementation scoring.,,Unassessed,Adoption friction companion metric added in rubric 2026-06-26.2; assign during the next substantive audit rather than inferring retroactively.,unassessed,unassessed,unassessed,unassessed,"Required T1 enactment-pathway check added in rubric 2026-06-27.1; assess using sourced electoral, legislative, polling, historical, judicial, and institutional evidence during the next substantive audit."
ELEC-009,A-02,Electoral College Structure and National Popular Vote,Developed,1,60,Structural audit complete; advanced audits pending,Initial framework and inventory audit,2026-06-24,"Issue has a developed page and linked legislation path, and has passed current structural inventory review; source, legal-fit, prior-proposal, and adoption audits remain incomplete.","Complete source verification, existing-law fit, prior-proposal survey, political-language neutrality, coalition-appeal, and implementation-risk audits.",pre-2026-06-27.1,hard-rebaseline-needed,Developed proposal score predates explicit rubric-version tracking or full component rebaseline; recalculate under current rubric during the next T2/T3/T4 audit. Adoption friction also remains unassessed under rubric 2026-06-26.2. Rubric 2026-06-27.1 added a required evidence-bound T1 Enactment Pathway Check that can affect Adoption and Implementation scoring.,,Unassessed,Adoption friction companion metric added in rubric 2026-06-26.2; assign during the next substantive audit rather than inferring retroactively.,unassessed,unassessed,unassessed,unassessed,"Required T1 enactment-pathway check added in rubric 2026-06-27.1; assess using sourced electoral, legislative, polling, historical, judicial, and institutional evidence during the next substantive audit."
ELEC-010,A-02,"Mail-In Voting Access, Reliability, and Trust",Developed,2,55,HOR-012 integrated as USPS and mail-ballot source-strengthening manifestation; legislation path pending,Horizon integration decision,2026-06-25,"HOR-012 was integrated into ELEC-010 because EO 14399 and related reporting reinforce the existing mail-ballot and USPS leverage manifestation. Score unchanged because this was source-development and tracking cleanup, not a proposal-quality audit.","Decide whether legislation is appropriate, then complete source, legal-fit, prior-proposal, coalition-appeal, and implementation-risk audits; source-develop the USPS rulemaking record, barcode/manifest system, state-plaintiff briefing, and implementation or abandonment status.",pre-2026-06-27.1,hard-rebaseline-needed,Developed proposal score predates explicit rubric-version tracking or full component rebaseline; recalculate under current rubric during the next T2/T3/T4 audit. Adoption friction also remains unassessed under rubric 2026-06-26.2. Rubric 2026-06-27.1 added a required evidence-bound T1 Enactment Pathway Check that can affect Adoption and Implementation scoring.,,Unassessed,Adoption friction companion metric added in rubric 2026-06-26.2; assign during the next substantive audit rather than inferring retroactively.,unassessed,unassessed,unassessed,unassessed,"Required T1 enactment-pathway check added in rubric 2026-06-27.1; assess using sourced electoral, legislative, polling, historical, judicial, and institutional evidence during the next substantive audit."
ELEC-011,A-02,"Redistricting, Vote Dilution, and Representation Safeguards",Candidate,1,0,Pending development,Horizon integration decision,2026-06-25,Admitted from HOR-009 as a distinct A-02 candidate after Louisiana v. Callais; no proposal-quality score assigned because no basic proposal framework exists.,"Run issue-admission/source-development pass focused on Callais, state responses, Section 2/VRA constraints, state voting-rights acts, independent commissions, anti-mid-decade-redistricting rules, and constitutionally durable representation safeguards.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
ELEC-012,A-02,"Campaign Finance, Dark Money, and Corporate Political Spending",Candidate,1,0,Pending development,Horizon integration decision,2026-06-25,"Admitted from HOR-013 as a distinct A-02 candidate because campaign-finance integrity, corporate political spending, dark money, super PACs, and post-Citizens United/SpeechNow remedies are not owned by existing election proposals; no proposal-quality score assigned because no basic proposal framework exists.","Run issue-admission/source-development pass focused on Citizens United, SpeechNow, Hawaii's corporate-powers law, Montana and other state efforts, disclosure and coordination rules, public-financing or small-donor models, constitutional-amendment options, state corporate-law authority, First Amendment durability, and bipartisan support or objections.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
ELEC-013,A-02,"Electoral Competition, Ballot Access, and Debate Gatekeeping",Candidate,1,0,Pending development,Horizon integration decision,2026-06-25,"Admitted from HOR-014 as a distinct A-02 candidate because election-process rules can entrench two-party control through ballot access, debate access, primary structures, plurality-winner incentives, spoiler effects, and weak majority-choice mechanisms; no proposal-quality score assigned because no basic legislative framework exists.","Run issue-admission/source-development pass focused on FEC debate rules, presidential and congressional debate access, ranked-choice voting, runoff models, open and nonpartisan primaries, fusion voting, ballot-access floors, public financing overlap with ELEC-012, proportional or multimember models where relevant, voter education, accessibility, auditability, and constitutional limits.",2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
WAR-001,A-03,Comprehensive War Powers and Use-of-Force Authorization Reform,Developed,1,60,Structural audit complete; advanced audits pending,Initial framework and inventory audit,2026-06-24,"Issue has a developed page and linked legislation path, and has passed current structural inventory review; source, legal-fit, prior-proposal, and adoption audits remain incomplete.","Complete source verification, existing-law fit, prior-proposal survey, political-language neutrality, coalition-appeal, and implementation-risk audits.",pre-2026-06-27.1,hard-rebaseline-needed,Developed proposal score predates explicit rubric-version tracking or full component rebaseline; recalculate under current rubric during the next T2/T3/T4 audit. Adoption friction also remains unassessed under rubric 2026-06-26.2. Rubric 2026-06-27.1 added a required evidence-bound T1 Enactment Pathway Check that can affect Adoption and Implementation scoring.,,Unassessed,Adoption friction companion metric added in rubric 2026-06-26.2; assign during the next substantive audit rather than inferring retroactively.,unassessed,unassessed,unassessed,unassessed,"Required T1 enactment-pathway check added in rubric 2026-06-27.1; assess using sourced electoral, legislative, polling, historical, judicial, and institutional evidence during the next substantive audit."
WAR-002,A-03,Ineffective automatic termination under the War Powers framework,Retired—merged into WAR-001,1,0,Retired or merged; no standalone proposal quality score,Initial framework and inventory audit,2026-06-24,Standalone proposal retired or merged into a primary issue; quality should be assessed through the surviving proposal.,Confirm cross-reference remains accurate if primary issue changes.,2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
WAR-003,A-03,Overbroad and indefinite authorizations for use of military force,Retired—merged into WAR-001,1,0,Retired or merged; no standalone proposal quality score,Initial framework and inventory audit,2026-06-24,Standalone proposal retired or merged into a primary issue; quality should be assessed through the surviving proposal.,Confirm cross-reference remains accurate if primary issue changes.,2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
WAR-004,A-03,"Executive control over legal interpretations of war, hostilities, self-defense, and authorization",Retired—merged into WAR-001,1,0,Retired or merged; no standalone proposal quality score,Initial framework and inventory audit,2026-06-24,Standalone proposal retired or merged into a primary issue; quality should be assessed through the surviving proposal.,Confirm cross-reference remains accurate if primary issue changes.,2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
WAR-005,A-03,Partisan collapse of congressional oversight,Retired—merged into WAR-001,1,0,Retired or merged; no standalone proposal quality score,Initial framework and inventory audit,2026-06-24,Standalone proposal retired or merged into a primary issue; quality should be assessed through the surviving proposal.,Confirm cross-reference remains accurate if primary issue changes.,2026-06-27.1,current-fixed-status,"Fixed zero-status score is current while the issue remains candidate, retired, merged, pending controlling finding, or otherwise undeveloped.",N/A,N/A,Not scored while issue has fixed zero-status or is not developed.,N/A,N/A,N/A,N/A,Not assessed while issue has fixed zero-status or is not developed.
